==============================
Loot items of Fesa. Creation date: 14/04/22
Total loot items: 210
NAME, RARITY, CUBELET
House (Plus 9 months), no_rarity, pack_bundle
Ice Breaker (Animated), no_rarity, pack_bundle
Ice Crack, no_rarity, pack_bundle
Ice Lolly (Animated), no_rarity, pack_bundle
Iron, no_rarity, pack_bundle
Lapiz, no_rarity, pack_bundle
Lemon Ice Lolly, no_rarity, pack_bundle
Light Blue Glass, no_rarity, pack_bundle
Lime Glass, no_rarity, pack_bundle
Mars, no_rarity, pack_bundle
Melting Candle (Animated), no_rarity, pack_bundle
Moon, no_rarity, pack_bundle
Mushroom Tree (1 Year 6 Months), no_rarity, pack_bundle
Obsidian, no_rarity, pack_bundle
Orange Ice Cream, no_rarity, pack_bundle
Orange Ice Lolly, no_rarity, pack_bundle
Orange Juice, no_rarity, pack_bundle
Plus (3 months), no_rarity, pack_bundle
Potion Master, no_rarity, unobtainable
Pumpkin (Animated), no_rarity, pack_bundle
Purple Glass, no_rarity, pack_bundle
Rainbow Glass, no_rarity, pack_bundle
Rainbow Ice Cream, no_rarity, pack_bundle
Rainbow Ice Lolly, no_rarity, pack_bundle
Rocket, no_rarity, pack_bundle
Snow Globe, no_rarity, pack_bundle
Snowman, no_rarity, pack_bundle
Spinning Gravestone (Animated), no_rarity, pack_bundle
Spiral (2 Years), no_rarity, pack_bundle
Spiral Glass, no_rarity, pack_bundle
Spring Field, no_rarity, pack_bundle
Strawberry Ice Cream, no_rarity, pack_bundle
Strawberry Ice Lolly, no_rarity, pack_bundle
Sun Flower, no_rarity, pack_bundle
Toilet, no_rarity, unobtainable
Trampoline (Plus 6 months), no_rarity, pack_bundle
Treasure (Plus 1 Year), no_rarity, pack_bundle
Treasure Marker (Animated), no_rarity, unobtainable
Tree, no_rarity, pack_bundle
Valentines Cake, no_rarity, pack_bundle
Vanilla Ice Cream, no_rarity, pack_bundle
Villager House, no_rarity, unobtainable
Watch Tower, no_rarity, unobtainable
Wither, no_rarity, unobtainable
Yellow Glass, no_rarity, pack_bundle
Magenta Clay, uncommon, normal
Orange Clay, uncommon, normal
Orange and Blue Present, uncommon, winter
Pineapple, uncommon, summer
Pink Clay, uncommon, normal
Prison, uncommon, normal
Purple Clay, uncommon, normal
Red Clay, uncommon, normal
Red and Green Present, uncommon, winter
Red and Yellow Present, uncommon, winter
Sandcastle, uncommon, summer
White Clay, uncommon, normal
Yellow Clay, uncommon, normal
Banana Ice Cream, common, summer
Black and White Present, common, winter
Blueberry Ice Cream, common, summer
Brown Glass, common, normal
Cyan Glass, common, normal
Dark Grey Glass, common, normal
Duck, common, spring
Egg, common, spring
Grape Glass, common, normal
Green & White Present, common, winter
Green Bauble, common, winter
Green Glass, common, normal
Icy Glass, common, normal
Ocean Glass, common, normal
Total gadget loot: 168
